Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN,JOCK#WIN,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,,,weightCarriedInPastRace,Binary Odds
,4/4/2023,Turf Paradise,151,Rolinga,Luis Valenzuela,3/5/2023,124,4,0,4.7,0,70,"$17,097.00 ",71,,,,,30,7, 6/7,6,0.86,123,0
,4/4/2023,Turf Paradise,151,Nice Ice,Fausto Da Silva,11/25/2022,124,8,0,2,0,77.25,"$6,255.00 ",79,,,,,130,8,11-Aug,8,0.73,125,1
,4/4/2023,Turf Paradise,151,Stradari,Luis Negron,3/21/2023,124,2,0,0.8,0,61.5,"$28,468.00 ",49,,,,,14,6, 2/7,2,0.29,123,0
,4/4/2023,Turf Paradise,151,Canterbury Gold,Rigo Sarmiento,3/26/2023,124,1,0,11.6,0.125,54,"$7,626.00 ",56,,,,,9,6,6-Feb,2,0.33,124,0
,4/4/2023,Turf Paradise,151,Chicks Dig Munny,Crystal Conning,3/12/2023,124,6,0,22.1,0.1,55.75,"$1,735.00 ",63,,,,,23,5, 4/9,4,0.44,124,0
,4/4/2023,Turf Paradise,151,Earlynthemorn,Enrique Garcia,3/26/2023,124,7,0,62.5,0.0714,51,"$2,602.00 ",33,,,,,9,6, 7/9,7,0.78,124,0
,4/4/2023,Turf Paradise,151,My Expression,Aldo Arboleda,3/21/2023,124,3,0,6.8,0,52,"$2,160.00 ",43,,,,,14,9,6-Jun,6,1,127,0
,4/4/2023,Turf Paradise,151,Le Tub,Anaya Alex,3/21/2023,124,5,0,12.3,0.25,54,"$2,677.00 ",50,,,,,14,6,6-Mar,3,0.5,127,0
,4/4/2023,Mahonning Valley Race Course,152,Lemon Mousse,Renzo Diaz,3/20/2023,117,1,0,0.4,0.1429,52.5,"$83,305.00 ",56,,,,,15,3, 2/9,2,0.22,118,1
,4/4/2023,Mahonning Valley Race Course,152,Better Half,Jeffrey Sanchez,11/30/2022,125,2,0,7.4,0.25,36.5,"$30,045.00 ",44,,,,,125,3, 1/8,1,0.13,122,0
