Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN0,JOCK#WIN0,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,Finish position 2,numerical finishing position,weightCarriedInPastRace,Binary Odds,Weight2,odds2,AVESPRAT2,W/Race2,LSPEDRAT 2,Timesince,JOCK#RACE,JOCK#WIN,JOCK%WIN,JOCK#TOP3TOTAL,JOCK#TOP3%,JOCK#RACEL2,JOCK#WINL2,JOCK%WINL2,JOCK#TOP3TL2,JOCK%TOP3L2
1,4/1/2023,Aqueduct,1,Afjan,Ruben Silvera,3/17/2023,122,2,0,9.5,0.0667,81.75,"$69,480.00 ",84,15%,109,0,0,15,4,6-Mar,3,0.5,125,1,0.122,0.84,0.8175,$0.07 ,0.84,0.15,7729,1173,0.151766076,3389,0.438478458,1978,348,0.175935288,968,0.489383215
,4/1/2023,Aqueduct,1,Salto de Tigre,Manuel Franco,3/25/2023,122,5,0,2.5,0.1875,91.25,$101.33 ,93,15%,142,0,0,7,4,7-Mar,3,0.43,118,0,0.122,0.93,0.9125,$0.00 ,0.93,0.07,14040,2041,0.14537037,5951.68,0.423908832,2380,429,0.180252101,1133,0.47605042
,4/1/2023,Aqueduct,1,Smoke and Heat ,Trevor McCarthy,3/24/2023,122,3,0,4.7,0.1,75.5,"$62,013.00 ",79,12%,42,,,8,4,6-Apr,4,0.67,123,0,0.122,0.79,0.755,$0.06 ,0.79,0.08,11108,1929,0.173658624,5635.56,0.507342456,1632,180,0.110294118,599,0.367034314
,4/1/2023,Aqueduct,1,Gut Feeling,Jeremy Laprida,1/28/2023,120,6,0,1.75,0.1111,85.25,"$14,300.00 ",85,,,,,63,4,6-Feb,2,0.33,123,0,0.12,0.85,0.8525,$0.01 ,0.85,0.63,2094,271,0.129417383,860.8,0.411079274,1154,149,0.129116118,493,0.427209705
,4/1/2023,Aqueduct,1,Norgay ,Gherson (Jason) Huayas,3/17/2023,117,4,0,3.15,0.1667,83,"$71,675.00 ",90,,,,,15,4,6-Jan,1,0.17,120,0,0.117,0.9,0.83,$0.07 ,0.9,0.15,749,49,0.065420561,227,0.303070761,749,49,0.065420561,227,0.303070761
,4/1/2023,Aqueduct,1,Dontbelate,Jaime Torres,3/5/2023,117,1,0,24,0.2,71.5,"$76,840.00 ",80,,,,,27,4, 1/6,1,0.17,120,0,0.117,0.8,0.715,$0.08 ,0.8,0.27,1011,114,0.112759644,395.92,0.391612265,1011,114,0.112759644,393,0.388724036
,4/1/2023,Aqueduct,2,Always Charming,Trevor McCarthy,6/16/2022,124,3,0,12.9,0,61.25,"$77,250.00 ",60,12%,42,,,289,4,10-Jul,7,0.7,120,1,0.124,0.6,0.6125,$0.08 ,0.6,2.89,11108,1929,0.173658624,5635.56,0.507342456,1632,180,0.110294118,599,0.367034314
,4/1/2023,Aqueduct,2,Central Pride,Manuel Franco,3/10/2023,126,1,0,0.85,0.0769,71.75,"$66,900.00 ",74,15%,142,,,22,4, 1/7,1,0.14,125,0,0.126,0.74,0.7175,$0.07 ,0.74,0.22,14040,2041,0.14537037,5951.68,0.423908832,2380,429,0.180252101,1133,0.47605042
,4/1/2023,Aqueduct,2,Clash A. J.,Heman Harkie,3/24/2023,126,4,0,5.1,0.0526,68,"$54,143.00 ",64,,,,,8,4,8-Feb,2,0.25,114,0,0.126,0.64,0.68,$0.05 ,0.64,0.08,1724,71,0.041183295,326.48,0.18937355,689,51,0.074020319,213,0.309143687
,4/1/2023,Aqueduct,2,Juggler,Katie Davis,10/17/2022,124,2,0,8.1,0.1,71.75,"$9,696.00 ",68,,,,,166,4,9-Jun,6,0.67,121,0,0.124,0.68,0.7175,$0.01 ,0.68,1.66,2563,285,0.111197815,823.24,0.321201717,444,31,0.06981982,111,0.25
,4/1/2023,Aqueduct,2,Got The Gold,Jacqueline Davis,3/18/2023,124,6,0,10.8,0.0667,68.5,"$20,380.00 ",75,,,,,14,5,6-Mar,3,0.5,120,0,0.124,0.75,0.685,$0.02 ,0.75,0.14,8263,882,0.106740893,2980.52,0.360706765,1381,144,0.104272266,517,0.374366401
,4/1/2023,Aqueduct,2,Trevor Bardette,Jose Gomez,2/26/2023,126,5,0,3.3,0.2,67.5,"$34,221.00 ",84,,,,,34,4, 1/7,1,0.14,122,0,0.126,0.84,0.675,$0.03 ,0.84,0.34,2164,223,0.103049908,755.22,0.348992606,2138,224,0.104770814,755,0.35313377
,4/1/2023,Aqueduct,3,Foolish Ghost,Katie Davis,3/12/2023,120,1,0,3.95,0.1429,65.75,"$61,035.00 ",70,,,,,20,8,6-Jun,6,1,118,1,0.12,0.7,0.6575,$0.06 ,0.7,0.2,2563,285,0.111197815,823.24,0.321201717,444,31,0.06981982,111,0.25
,4/1/2023,Aqueduct,3,Majestic Tiger,Manuel Franco,3/10/2023,120,4,0,6.7,0.125,81.5,"$35,420.00 ",64,15%,142,,,22,5, 8/9,8,0.89,113,0,0.12,0.64,0.815,$0.04 ,0.64,0.22,14040,2041,0.14537037,5951.68,0.423908832,2380,429,0.180252101,1133,0.47605042
,4/1/2023,Aqueduct,3,Bronx Bomber,Jose Gomez,3/11/2023,120,2,0,11.3,0.1176,80,"$42,540.00 ",79,,,,,21,7,6-Mar,3,0.5,120,0,0.12,0.79,0.8,$0.04 ,0.79,0.21,2164,223,0.103049908,755.22,0.348992606,2138,224,0.104770814,755,0.35313377
,4/1/2023,Aqueduct,3,Runningwscissors,Kendrick Carmouche,2/10/2023,120,3,0,3.85,0.1429,90.75,"$125,015.00 ",75,,,,,50,7,9-Mar,3,0.33,113,0,0.12,0.75,0.9075,$0.13 ,0.75,0.5,23251,3780,0.162573653,10162.44,0.437075395,1886,294,0.155885472,806,0.427359491
,4/1/2023,Aqueduct,3,Quick Return,Jose Lezcano,2/11/2023,120,6,0,2.35,0.3333,80,"$39,080.00 ",68,,,,,49,6,6-Apr,4,0.67,120,0,0.12,0.68,0.8,$0.04 ,0.68,0.49,18921,3221,0.170234131,8879.14,0.469274351,1595,265,0.166144201,760,0.476489028
,4/1/2023,Aqueduct,3,Masked Marauder,Gherson (Jason) Huayas,2/17/2023,118,5,0,4.6,0.1538,83,"$22,328.00 ",81,,,,,43,5, 6/7,6,0.86,111,0,0.118,0.81,0.83,$0.02 ,0.81,0.43,749,49,0.065420561,227,0.303070761,749,49,0.065420561,227,0.303070761
,4/1/2023,Aqueduct,3,Gandy Dancing,Jaimie Torres,3/11/2023,118,7,0,8.6,0.2143,76.75,"$57,970.00 ",86,,,,,21,6, 1/6,1,0.17,113,0,0.118,0.86,0.7675,$0.06 ,0.86,0.21,1011,114,0.112759644,395.92,0.391612265,1011,114,0.112759644,393,0.388724036
,4/1/2023,Aqueduct,4,Lafitte's Fleet,Kendrick Carmouche,2/2/2023,120,2,0,0.9,0.1538,92.75,"$113,630.00 ",84,,,,,58,6,6-Jun,6,1,123,1,0.12,0.84,0.9275,$0.11 ,0.84,0.58,23251,3780,0.162573653,10162.44,0.437075395,1886,294,0.155885472,806,0.427359491
,4/1/2023,Aqueduct,4,Jumpster,Romero Maragh,3/5/2023,120,1,0,20.1,0.2353,62.5,"$47,240.00 ",54,,,,,27,5, 5/7,5,0.71,123,0,0.12,0.54,0.625,$0.05 ,0.54,0.27,2870,223,0.077700348,822.75,0.286672474,1031,67,0.064985451,264,0.256062076
,4/1/2023,Aqueduct,4,Lost In Rome,Heman Harkie,3/25/2023,120,5,0,5.1,0.1111,76.25,"$71,110.00 ",66,,,,,7,6,9-Sep,9,1,118,0,0.12,0.66,0.7625,$0.07 ,0.66,0.07,1724,71,0.041183295,326.48,0.18937355,689,51,0.074020319,213,0.309143687
,4/1/2023,Aqueduct,4,Gentleman Joe,Jaime Torres,2/25/2023,115,3,0,2.2,0.0667,76.75,"$20,960.00 ",67,,,,,35,7, 6/7,6,0.86,120,0,0.115,0.67,0.7675,$0.02 ,0.67,0.35,1011,114,0.112759644,395.92,0.391612265,1011,114,0.112759644,393,0.388724036
,4/1/2023,Aqueduct,4,Blake B.,Jose Lezcano,3/12/2023,123,4,0,5.5,0.1667,47.5,"$12,335.00 ",75,,,,,20,5, 6/7,6,0.86,116,0,0.123,0.75,0.475,$0.01 ,0.75,0.2,18921,3221,0.170234131,8888.14,0.469750013,1595,265,0.166144201,760,0.476489028
,4/1/2023,Aqueduct,5,Can't Beat Me,Romero Maragh,3/11/2023,129,4,0,3.35,0.0833,73.75,"$44,497.00 ",73,,,,,21,4,6-Apr,4,0.67,122,1,0.129,0.73,0.7375,$0.04 ,0.73,0.21,2870,223,0.077700348,822.75,0.286672474,1031,67,0.064985451,264,0.256062076
,4/1/2023,Aqueduct,5,El Mayor,Jose Gomez,1/26/2023,120,2,0,5.2,0.0909,62,"$10,080.00 ",74,,,,,65,5,6-Apr,4,0.67,110,0,0.12,0.74,0.62,$0.01 ,0.74,0.65,2164,223,0.103049908,755.22,0.348992606,2138,224,0.104770814,755,0.35313377
,4/1/2023,Aqueduct,5,Storm Shooter,Gherson (Jason) Huayas,2/10/2023,115,1,0,2.2,0.0714,60.75,"$8,680.00 ",50,,,,,50,5,6-Mar,3,0.5,115,0,0.115,0.5,0.6075,$0.01 ,0.5,0.5,749,49,0.065420561,227,0.303070761,749,49,0.065420561,227,0.303070761
,4/1/2023,Aqueduct,5,Brunate,Jaime Torres,3/11/2023,115,5,0,1.8,0.0909,73.75,"$10,080.00 ",76,,,,,21,6,6-Mar,3,0.5,120,0,0.115,0.76,0.7375,$0.01 ,0.76,0.21,1011,114,0.112759644,395.92,0.391612265,1011,114,0.112759644,393,0.388724036
,4/1/2023,Aqueduct,5,R Boy,Jacqueline Davis,3/9/2023,120,3,0,38.25,0.1,39,"$14,964.00 ",44,,,,,23,4,7-Jul,7,1,113,0,0.12,0.44,0.39,$0.01 ,0.44,0.23,8263,882,0.106740893,2980.52,0.360706765,1381,144,0.104272266,517,0.374366401
,4/1/2023,Aqueduct,5,Catching Cupid,Luis Rodriguez Castro,3/11/2023,122,6,0,7.5,0.2222,53.25,"$9,000.00 ",60,,,,,21,4,6-May,5,0.83,122,0,0.122,0.6,0.5325,$0.01 ,0.6,0.21,2679,293,0.109369168,903,0.337066069,585,64,0.109401709,182,0.311111111
,4/1/2023,Aqueduct,6,Jake Rocks,Jose Lezcano,3/4/2023,122,3,0,4.1,0.3333,93,"$152,680.00 ",83,,,,,28,7, 3/7,3,0.43,123,1,0.122,0.83,0.93,$0.15 ,0.83,0.28,18921,3221,0.170234131,8879.14,0.469274351,1595,265,0.166144201,760,0.476489028
,4/1/2023,Aqueduct,6,American Law,Kendrick Carmouche,1/8/2023,122,7,0,10.5,0.25,88.75,"$78,370.00 ",90,,,,,83,5, 1/5,1,0.2,122,0,0.122,0.9,0.8875,$0.08 ,0.9,0.83,23251,3780,0.162573653,10162.44,0.437075395,1886,294,0.155885472,806,0.427359491
,4/1/2023,Aqueduct,6,Life Changer,Jose Gomez,1/27/2023,122,2,0,3.25,0.2,96,"$78,490.00 ",97,,,,,64,6,8-Feb,2,0.25,118,0,0.122,0.97,0.96,$0.08 ,0.97,0.64,2164,223,0.103049908,755.22,0.348992606,2138,224,0.104770814,755,0.35313377
,4/1/2023,Aqueduct,6,Silver Seeker,Trevor McCarthy,2/11/2023,122,1,0,3.4,0.3333,86.25,"$6,485.00 ",72,12%,42,,,49,7, 7/9,7,0.78,115,0,0.122,0.72,0.8625,$0.01 ,0.72,0.49,11108,1929,0.173658624,5635.56,0.507342456,1632,180,0.110294118,599,0.367034314
,4/1/2023,Aqueduct,6,Watasha,Eric Cancel,1/14/2023,122,5,0,10.9,0.2,89.5,"$9,948.00 ",79,,,,,77,4, 8/9,8,0.89,122,0,0.122,0.79,0.895,$0.01 ,0.79,0.77,6807,783,0.115028647,2566,0.376964889,1154,137,0.118717504,441,0.382149047
,4/1/2023,Aqueduct,6,Kaz's Beach,Ruben Silvera,2/18/2023,122,4,0,11.9,0,87.5,"$16,892.00 ",97,,,,,42,6, 2/7,2,0.29,123,0,0.122,0.97,0.875,$0.02 ,0.97,0.42,7729,1173,0.151766076,3389,0.438478458,1978,348,0.175935288,968,0.489383215
,4/1/2023,Aqueduct,6,Ryan's Cat,Luis Rodriguez Castro,3/19/2023,122,6,0,22.3,0,84.75,"$13,612.00 ",83,,,,,13,6, 6/7,6,0.86,126,0,0.122,0.83,0.8475,$0.01 ,0.83,0.13,2679,293,0.109369168,903,0.337066069,585,64,0.109401709,182,0.311111111
,4/1/2023,Aqueduct,6,Money Supply,Manuel Franco,1/14/2023,1222,10,0,4.3,0,90.75,"$3,772.00 ",87,15%,142,,,77,4, 5/9,5,0.56,122,0,1.222,0.87,0.9075,$0.00 ,0.87,0.77,14040,2041,0.14537037,5951.68,0.423908832,2380,429,0.180252101,1133,0.47605042
,4/1/2023,Aqueduct,6,Handsome Cat,Jaime Torres,3/19/2023,117,8,0,21.4,0.0909,85,"$38,212.00 ",84,,,,,13,6, 5/7,5,0.71,126,0,0.117,0.84,0.85,$0.04 ,0.84,0.13,1011,114,0.112759644,395.92,0.391612265,1011,114,0.112759644,393,0.388724036
,4/1/2023,Aqueduct,6,Hold the Salsa,Romero Maragh,7/2/2022,122,9,0,59.5,0,79.5,"$27,092.00 ",87,,,,,273,5,10-Aug,8,0.8,116,0,0.122,0.87,0.795,$0.03 ,0.87,2.73,2870,223,0.077700348,822.75,0.286672474,1031,67,0.064985451,264,0.256062076
,4/1/2023,Aqueduct,7,Law Professor,Manuel Franco,2/18/2023,122,2,0,0.5,0.25,108,"$210,150.00 ",106,15%,142,,,42,5, 3/8,3,0.38,120,1,0.122,1.06,1.08,$0.21 ,1.06,0.42,14040,2041,0.14537037,5951.68,0.423908832,2380,429,0.180252101,1133,0.47605042
,4/1/2023,Aqueduct,7,Keystone Field,Jose Lezcano,2/18/2023,118,4,0,7.9,0.4167,99.75,"$124,517.00 ",87,,,,,42,8, 7/8,7,0.88,115,0,0.118,0.87,0.9975,$0.12 ,0.87,0.42,18921,3221,0.170234131,8879.14,0.469274351,1595,265,0.166144201,760,0.476489028
,4/1/2023,Aqueduct,7,Miles D,Eric Cancel,2/25/2023,118,1,0,3.95,0,98.25,"$41,500.00 ",99,,,,,35,5,6-Feb,2,0.33,118,0,0.118,0.99,0.9825,$0.04 ,0.99,0.35,6807,783,0.115028647,2566,0.376964889,1154,137,0.118717504,441,0.382149047
,4/1/2023,Aqueduct,7,Curlin's Wisom ,Trevor McCarthy,3/11/2023,118,7,0,29.25,0.3333,92,"$87,888.00 ",98,12%,42,,,21,4, 2/7,2,0.29,116,0,0.118,0.98,0.92,$0.09 ,0.98,0.21,11108,1929,0.173658624,5635.56,0.507342456,1632,180,0.110294118,599,0.367034314
,4/1/2023,Aqueduct,7,Portos,Gherson (Jason) Huayas,3/1/2023,118,3,0,13.9,0,90.5,"$41,460.00 ",95,,,,,31,6, 3/5,3,0.6,120,0,0.118,0.95,0.905,$0.04 ,0.95,0.31,749,49,0.065420561,227,0.303070761,649,49,0.07550077,227,0.349768875
,4/1/2023,Aqueduct,7,Forewarned ,Dexter Haddock,3/7/2023,122,5,0,22.3,0.1538,96.25,"$94,475.00 ",100,,,,,25,8, 1/7,1,0.14,126,0,0.122,1,0.9625,$0.09 ,1,0.25,4710,543,0.115286624,1768.7,0.37552017,1669,189,0.113241462,655,0.392450569
,4/1/2023,Aqueduct,7,Bourbonic,Kendrick Carmouche,2/25/2023,119,6,0,11.5,0.25,92.75,"$73,775.00 ",96,,,,,35,5,6-Apr,4,0.67,118,0,0.119,0.96,0.9275,$0.07 ,0.96,0.35,23251,3780,0.162573653,10162.44,0.437075395,1886,294,0.155885472,806,0.427359491
2,4/1/2023,Camarero Race Track,8,DQ-Quake,Jomar Garcia,3/10/2023,117,4,0,4.5,0.1333,67.25,"$3,960.00 ",73,,,,,22,5,8-Feb,2,0.25,118,1,0.117,0.73,0.6725,$0.00 ,0.73,0.22,5333,736,0.138008626,2433.85,0.456375398,531,58,0.109227872,195,0.367231638
,4/1/2023,Camarero Race Track,8,Time of Peace,Joshua Navarro,3/9/2023,116,5,0,0.85,0.1765,69.75,"$12,960.00 ",70,,,,,23,4, 2/5,2,0.4,116,0,0.116,0.7,0.6975,$0.01 ,0.7,0.23,8205,1370,0.166971359,3659,0.445947593,1375,285,0.207272727,743,0.540363636
,4/1/2023,Camarero Race Track,8,My Magical Man,Nicky Figueroa,3/23/2023,121,3,0,1.15,0.1579,70.75,"$2,900.00 ",68,,,,,9,5, 5/7,5,0.71,118,0,0.121,0.68,0.7075,$0.00 ,0.68,0.09,3961,675,0.170411512,1962,0.495329462,884,150,0.169683258,,0
,4/1/2023,Camarero Race Track,8,Fun Loaded,Yalexamarie Cintron,3/4/2023,109,1,0,15.5,0.0476,47.75,"$5,820.00 ",26,,,,,28,5, 8/9,8,0.89,118,0,0.109,0.26,0.4775,$0.01 ,0.26,0.28,56,3,0.053571429,11.36,0.202857143,56,3,0.053571429,,0
,4/1/2023,Camarero Race Track,8,Black Makumba,Juan Diaz,3/4/2023,117,2,0,7.75,0.1667,53.75,$840.00 ,38,,,,,28,4, 5/9,5,0.56,118,0,0.117,0.38,0.5375,$0.00 ,0.38,0.28,22013,5962,0.270839958,14005.56,0.636240403,1328,465,0.350150602,,0
,4/1/2023,Camarero Race Track,9,Miss Rioja ,Francisco  Garcia,3/2/2023,120,5,0,2.2,0.1429,21.5,"$9,704.00 ",32,,,,,30,3, 1/5,1,0.2,120,1,0.12,0.32,0.215,$0.01 ,0.32,0.3,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,#DIV/0!
,4/1/2023,Camarero Race Track,9,Aleynishalee,Erik Monserrate,3/10/2023,111,1,0,27.3,0.1429,30,"$6,240.00 ",0,,,,,22,3,8-Aug,8,1,116,0,0.111,0,0.3,$0.01 ,0,0.22,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,#DIV/0!
,4/1/2023,Camarero Race Track,9,Miss Soly,Omix Adomo,3/10/2023,120,2,0,4.55,0.25,30,"$8,850.00 ",5,,,,,22,3,8-Jun,6,0.75,117,0,0.12,0.05,0.3,$0.01 ,0.05,0.22,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,#DIV/0!
,4/1/2023,Camarero Race Track,9,Lydia Esther,Juan Diaz,3/10/2023,118,3,0,2.1,0.1111,36,"$5,550.00 ",33,,,,,22,3,8-Apr,4,0.5,109,0,0.118,0.33,0.36,$0.01 ,0.33,0.22,22013,5962,0.270839958,14005.56,0.636240403,1328,465,0.350150602,0,0
,4/1/2023,Camarero Race Track,9,Ms. Jonaleska,Jorge Velez,3/10/2023,120,4,0,3.3,0.1,33,"$10,040.00 ",35,,,,,22,3, 3/8,3,0.38,118,0,0.12,0.35,0.33,$0.01 ,0.35,0.22,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,#DIV/0!
,4/1/2023,Camarero Race Track,9,Brooks N Band,Stevem Monserrate,3/4/2023,112,6,0,2.55,0.2222,33.75,"$9,240.00 ",39,,,,,28,3, 1/5,1,0.2,109,0,0.112,0.39,0.3375,$0.01 ,0.39,0.28,,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,#DIV/0!
